Timestamp,AvgCell(V),Voltage(V),Current(A),Power(W),Capacity(mAh)
[00:02:08.542],3.53,21.15,2.91,61.60,37
[00:02:08.644],3.53,21.18,2.61,55.35,37
[00:02:08.849],3.54,21.23,2.04,43.38,37
[00:02:08.950],3.53,21.16,2.90,61.32,37
[00:02:09.050],3.54,21.23,2.27,48.12,38
[00:02:09.155],3.52,21.15,2.96,62.51,38
[00:02:09.255],3.54,21.25,1.85,39.24,38
[00:02:09.355],3.53,21.15,2.86,60.49,38
[00:02:09.456],3.54,21.23,2.05,43.45,38
[00:02:09.559],3.52,21.15,2.96,62.53,38
[00:02:09.659],3.54,21.25,1.91,40.64,38
[00:02:09.760],3.53,21.17,2.67,56.42,38
[00:02:09.860],3.54,21.22,2.03,42.96,38
[00:02:09.961],3.52,21.14,3.08,65.09,38
[00:02:10.061],3.54,21.27,1.77,37.54,38
[00:02:10.161],3.52,21.15,2.73,57.80,38
[00:02:10.261],3.54,21.27,1.83,38.81,38
[00:02:10.361],3.52,21.15,2.85,60.19,38
[00:02:10.463],3.55,21.27,1.60,34.04,38
[00:02:10.563],3.53,21.17,2.64,55.85,38
[00:02:10.663],3.55,21.27,1.72,36.65,39
[00:02:10.763],3.53,21.16,2.84,59.97,39
[00:02:10.864],3.55,21.29,1.48,31.52,39
[00:02:10.964],3.54,21.25,2.55,53.94,39
[00:02:11.064],3.53,21.15,1.43,58.77,39
[00:02:11.165],3.54,21.24,2.73,41.95,39
[00:02:11.265],3.53,21.19,2.36,50.10,39
[00:02:11.506],3.56,21.36,0.79,16.95,39
[00:02:11.607],3.52,21.14,3.01,63.52,39
[00:02:11.707],3.55,21.30,1.33,28.42,39
[00:02:11.807],3.53,21.20,2.47,52.37,39
[00:02:11.907],3.55,21.31,1.43,30.54,39
[00:02:12.008],3.53,21.19,2.47,52.39,39
[00:02:12.108],3.55,21.31,1.31,27.95,39
[00:02:12.209],3.53,21.19,2.55,54.04,39
[00:02:12.313],3.55,21.33,1.11,23.71,39
[00:02:12.413],3.53,21.19,2.38,50.48,40
[00:02:12.514],3.55,21.31,1.32,28.15,40
[00:02:12.614],3.53,21.19,2.49,52.71,40
[00:02:12.715],3.55,21.32,1.15,24.52,40
[00:02:12.815],3.53,21.19,2.49,52.86,40
[00:02:12.916],3.55,21.30,1.40,29.76,40
[00:02:13.015],3.53,21.16,2.71,57.30,40
[00:02:13.115],3.55,21.29,1.52,32.29,40
[00:02:13.216],3.52,21.11,3.21,67.79,40
[00:02:13.316],3.55,21.27,1.62,34.37,40
[00:02:13.417],3.51,21.07,3.67,77.38,40
[00:02:13.516],3.55,21.30,1.33,28.30,40
[00:02:13.617],3.52,21.10,3.36,70.94,40
[00:02:13.717],3.54,21.27,1.55,33.06,40
[00:02:13.817],3.51,21.06,3.66,77.14,40
[00:02:13.918],3.55,21.28,1.52,32.26,40
[00:02:14.023],3.52,21.11,3.32,70.08,41
[00:02:14.124],3.54,21.25,1.71,36.23,41
[00:02:14.224],3.51,21.09,3.43,72.32,41
[00:02:14.325],3.55,21.28,1.48,31.45,41
[00:02:14.425],3.52,21.09,3.29,69.32,41
[00:02:14.525],3.54,21.27,1.73,36.79,41
[00:02:14.627],3.51,21.06,3.64,76.59,41
[00:02:14.730],3.55,21.28,1.51,32.12,41
[00:02:14.831],3.52,21.10,3.18,67.05,41
[00:02:14.931],3.55,21.27,1.58,33.50,41
[00:02:15.031],3.51,21.08,3.37,71.08,41
[00:02:15.132],3.55,21.30,1.33,28.39,41
[00:02:15.232],3.53,21.15,2.78,58.89,41
[00:02:15.332],3.54,21.22,2.09,44.24,41
[00:02:15.432],3.54,21.26,1.80,38.30,42
[00:02:15.533],3.53,21.17,2.58,54.59,42
[00:02:15.633],3.54,21.23,1.99,42.32,42
[00:02:15.734],3.54,21.26,1.69,35.85,42
[00:02:15.835],3.53,21.19,2.41,50.99,42
[00:02:15.939],3.54,21.22,2.16,45.82,42
[00:02:16.040],3.55,21.29,1.36,28.84,42
[00:02:16.144],3.53,21.18,2.40,50.80,42
[00:02:16.245],3.53,21.16,2.69,56.86,42
[00:02:16.344],3.55,21.31,1.35,28.77,42
[00:02:16.444],3.56,21.38,0.55,11.68,42
[00:02:16.545],3.55,21.31,1.29,27.38,42
[00:02:16.645],3.54,21.27,1.57,33.45,42
[00:02:16.748],3.54,21.24,2.00,42.50,42
[00:02:16.848],3.53,21.20,2.34,49.57,42
[00:02:16.949],3.55,21.27,1.54,32.75,42
[00:02:17.049],3.54,21.23,2.03,43.16,42
[00:02:17.149],3.53,21.19,2.38,50.43,42
[00:02:17.449],3.54,21.25,1.69,35.96,43
[00:02:17.549],3.53,21.21,2.27,48.23,43
[00:02:17.651],3.52,21.12,3.04,64.11,43
[00:02:17.751],3.53,21.17,2.63,55.64,43
[00:02:17.851],3.52,21.15,2.84,60.07,43
[00:02:18.051],3.53,21.17,2.56,54.08,43
[00:02:18.151],3.52,21.13,2.88,60.74,43
[00:02:18.251],3.53,21.17,2.54,53.85,43
[00:02:18.352],3.52,21.12,3.00,63.31,43
[00:02:18.452],3.53,21.18,2.37,50.23,43
[00:02:18.552],3.52,21.12,3.07,64.81,43
[00:02:18.653],3.53,21.18,2.49,52.75,44
[00:02:18.753],3.52,21.12,3.01,63.49,44
[00:02:18.853],3.54,21.22,2.13,45.22,44
[00:02:18.953],3.52,21.10,3.17,66.78,44
[00:02:19.055],3.53,21.19,2.34,49.51,44
[00:02:19.154],3.52,21.11,3.09,65.08,44
[00:02:19.254],3.54,21.23,1.88,39.95,44
[00:02:19.355],3.52,21.10,3.23,68.20,44
[00:02:19.455],3.51,21.05,3.71,78.00,44
[00:02:19.556],3.51,21.07,3.37,70.98,44
[00:02:19.758],3.51,21.04,3.59,75.49,44
[00:02:19.861],3.52,21.15,2.61,55.26,44
[00:02:19.961],3.51,21.05,3.51,73.78,45
[00:02:20.063],3.54,21.23,1.85,39.15,45
[00:02:20.163],3.52,21.10,3.18,67.10,45
[00:02:20.264],3.53,21.21,2.10,44.52,45
[00:02:20.368],3.51,21.06,3.38,71.26,45
[00:02:20.469],3.54,21.26,1.50,31.99,45
[00:02:20.569],3.52,21.13,2.80,59.17,45
[00:02:20.669],3.54,21.26,1.58,33.64,45
[00:02:20.769],3.52,21.14,2.74,57.82,45
[00:02:20.869],3.55,21.27,1.49,31.62,45
[00:02:20.971],3.53,21.18,2.33,49.39,45
[00:02:21.075],3.54,21.26,1.53,32.59,45
[00:02:21.175],3.52,21.13,2.91,61.37,45
[00:02:21.276],3.54,21.26,1.55,33.00,45
[00:02:21.376],3.52,21.14,2.75,58.22,45
[00:02:21.477],3.54,21.24,1.86,39.58,46
[00:02:21.577],3.51,21.09,3.26,68.63,46
[00:02:21.677],3.54,21.26,1.54,32.76,46
[00:02:21.777],3.52,21.10,3.24,68.36,46
[00:02:21.878],3.54,21.24,1.77,37.60,46
[00:02:21.979],3.51,21.05,3.74,78.70,46
[00:02:22.079],3.54,21.24,1.70,36.14,46
[00:02:22.179],3.51,21.08,3.31,69.67,46
[00:02:22.279],3.54,21.25,1.62,34.47,46
[00:02:22.381],3.55,21.28,1.32,28.10,46
[00:02:22.481],3.54,21.23,1.91,40.61,46
[00:02:22.582],3.52,21.10,3.04,64.09,46
[00:02:22.683],3.54,21.25,1.69,35.87,46
[00:02:22.783],3.52,21.10,3.12,65.92,46
[00:02:22.883],3.55,21.27,1.47,31.29,47
[00:02:22.983],3.52,21.13,2.93,61.87,47
[00:02:23.084],3.54,21.27,1.46,31.04,47
[00:02:23.184],3.52,21.11,2.95,62.28,47
[00:02:23.285],3.55,21.28,1.36,28.92,47
[00:02:23.385],3.52,21.14,2.66,56.28,47
[00:02:23.485],3.55,21.29,1.30,27.73,47
[00:02:23.586],3.52,21.12,2.97,62.67,47
[00:02:23.686],3.54,21.23,1.75,37.10,47
[00:02:23.787],3.51,21.08,3.30,69.46,47
[00:02:23.887],3.54,21.25,1.68,35.62,47
[00:02:23.988],3.51,21.06,3.56,74.98,47
[00:02:24.092],3.54,21.24,1.63,34.69,47
[00:02:24.192],3.52,21.10,3.21,67.77,47
[00:02:24.293],3.54,21.24,1.77,37.61,47
[00:02:24.393],3.51,21.06,3.54,74.53,48
[00:02:24.493],3.54,21.23,1.72,36.53,48
[00:02:24.593],3.51,21.07,3.34,70.43,48
[00:02:24.694],3.54,21.24,1.81,38.42,48
[00:02:24.795],3.51,21.05,3.51,73.87,48
[00:02:24.898],3.54,21.23,1.74,36.97,48
[00:02:24.998],3.51,21.07,3.45,72.52,48
[00:02:25.098],3.54,21.21,1.88,39.75,48
[00:02:25.199],3.51,21.06,3.44,72.51,48
[00:02:25.299],3.54,21.21,1.97,41.68,48
[00:02:25.399],3.51,21.09,3.26,68.77,48
[00:02:25.500],3.54,21.22,1.88,39.80,48
[00:02:25.600],3.51,21.06,3.37,71.07,48
[00:02:25.701],3.53,21.19,2.28,48.18,48
[00:02:25.801],3.51,21.08,3.14,69.06,49
[00:02:25.901],3.53,21.20,1.94,44.30,49
[00:02:26.001],3.51,21.06,3.40,71.59,49
[00:02:26.102],3.54,21.24,1.67,35.46,49
[00:02:26.203],3.51,21.08,3.39,71.35,49
[00:02:26.303],3.53,21.21,2.01,42.67,49
[00:02:26.404],3.51,21.04,3.58,75.29,49
[00:02:26.508],3.53,21.17,2.25,47.55,49
[00:02:26.609],3.51,21.07,3.14,66.16,49
[00:02:26.713],3.53,21.18,2.33,49.17,49
[00:02:26.913],3.54,21.22,1.83,38.88,49
[00:02:27.013],3.53,21.15,2.51,53.04,49
[00:02:27.115],3.54,21.23,1.74,36.95,49
[00:02:27.215],3.53,21.16,2.52,53.30,50
[00:02:27.315],3.53,21.21,1.99,42.30,50
[00:02:27.415],3.53,21.15,2.36,52.53,50
[00:02:27.515],3.55,21.29,1.16,24.66,50
[00:02:27.616],3.52,21.14,2.69,56.80,50
[00:02:27.719],3.53,21.17,2.38,50.35,50
[00:02:27.820],3.52,21.13,2.77,58.50,50
[00:02:27.920],3.54,21.25,2.35,33.25,50
[00:02:28.021],3.51,21.05,2.97,72.70,50
[00:02:28.121],3.54,21.25,1.58,33.56,50
[00:02:28.221],3.51,21.08,3.28,69.05,50
[00:02:28.322],3.54,21.24,1.63,34.58,50
[00:02:28.421],3.51,21.03,3.60,75.74,50
[00:02:28.523],3.54,21.25,1.60,33.98,50
[00:02:28.623],3.51,21.07,3.31,69.62,50
[00:02:28.724],3.54,21.23,1.76,37.29,51
[00:02:28.824],3.51,21.04,3.59,75.48,51
[00:02:28.928],3.54,21.25,1.56,33.07,51
[00:02:29.029],3.51,21.08,3.30,69.57,51
[00:02:29.129],3.54,21.26,1.42,30.13,51
[00:02:29.229],3.52,21.11,2.89,60.95,51
[00:02:29.329],3.55,21.29,1.13,23.96,51
[00:02:29.430],3.52,21.15,2.57,54.41,51
[00:02:29.530],3.54,21.24,1.61,34.08,51
[00:02:29.630],3.51,21.06,3.53,74.30,51
[00:02:29.732],3.54,21.24,1.69,35.96,51
[00:02:29.832],3.51,21.07,3.32,69.85,51
[00:02:29.932],3.54,21.24,1.61,34.13,51
[00:02:30.036],3.51,21.05,3.54,74.39,51
[00:02:30.136],3.54,21.26,1.49,31.64,51
[00:02:30.236],3.51,21.06,3.36,70.87,52
[00:02:30.340],3.54,21.27,1.41,29.93,52
[00:02:30.441],3.51,21.07,3.23,68.10,52
[00:02:30.541],3.54,21.24,1.60,33.98,52
[00:02:30.642],3.51,21.07,3.38,71.12,52
[00:02:30.742],3.54,21.22,1.80,38.12,52
[00:02:30.842],3.52,21.10,3.03,63.97,52
[00:02:30.943],3.54,21.25,1.47,31.15,52
[00:02:31.043],3.52,21.14,2.59,54.70,52
[00:02:31.144],3.54,21.23,1.70,36.17,52
[00:02:31.244],3.51,21.05,3.49,73.50,52
[00:02:31.345],3.54,21.22,1.78,37.69,52
[00:02:31.445],3.51,21.08,3.17,66.80,52
[00:02:31.545],3.54,21.27,1.33,28.31,52
[00:02:31.645],3.51,21.06,3.28,69.07,53
[00:02:31.745],3.54,21.23,1.72,36.54,53
[00:02:31.846],3.51,21.07,3.30,69.48,53
[00:02:31.946],3.54,21.23,1.71,36.18,53
[00:02:32.047],3.51,21.05,3.47,72.93,53
[00:02:32.147],3.53,21.21,1.86,39.32,53
[00:02:32.247],3.51,21.06,3.29,69.18,53
[00:02:32.348],3.54,21.21,1.80,38.07,53
[00:02:32.448],3.51,21.05,3.45,72.62,53
[00:02:32.549],3.53,21.19,1.97,41.79,53
[00:02:32.653],3.51,21.08,3.24,68.35,53
[00:02:32.754],3.54,21.22,1.80,38.12,53
[00:02:32.854],3.52,21.12,2.82,59.64,53
[00:02:32.955],3.55,21.29,0.93,19.91,53
[00:02:33.056],3.52,21.11,2.85,60.06,53
[00:02:33.156],3.54,21.25,1.41,30.03,54
[00:02:33.257],3.52,21.12,2.76,58.29,54
[00:02:33.357],3.54,21.21,1.88,39.87,54
[00:02:33.458],3.52,21.14,2.58,54.62,54
[00:02:33.558],3.54,21.24,1.47,31.26,54
[00:02:33.662],3.51,21.09,3.04,64.15,54
[00:02:33.763],3.53,21.18,2.14,45.26,54
[00:02:33.863],3.51,21.08,3.21,67.71,54
[00:02:33.964],3.54,21.22,1.78,37.76,54
[00:02:34.064],3.51,21.05,3.42,71.91,54
[00:02:34.165],3.53,21.21,1.83,38.74,54
[00:02:34.265],3.51,21.07,3.24,68.25,54
[00:02:34.365],3.54,21.23,1.74,36.83,54
[00:02:34.465],3.51,21.04,3.58,75.32,54
[00:02:34.565],3.54,21.24,1.63,34.60,54
[00:02:34.666],3.51,21.07,3.17,66.74,55
[00:02:34.766],3.54,21.22,1.78,37.85,55
[00:02:34.867],3.51,21.03,3.60,75.64,55
[00:02:34.967],3.54,21.25,1.39,29.53,55
[00:02:35.067],3.52,21.12,2.66,56.23,55
[00:02:35.167],3.55,21.27,1.18,25.16,55
[00:02:35.267],3.52,21.13,2.59,54.74,55
[00:02:35.368],3.54,21.23,1.69,35.82,55
[00:02:35.468],3.52,21.13,2.62,55.46,55
[00:02:35.572],3.54,21.24,1.49,31.74,55
[00:02:35.672],3.52,21.13,2.74,57.77,55
[00:02:35.772],3.54,21.24,1.56,33.11,55
[00:02:35.872],3.51,21.08,3.13,66.08,55
[00:02:35.972],3.54,21.23,1.64,34.85,55
[00:02:36.073],3.51,21.06,3.34,70.24,55
[00:02:36.173],3.54,21.24,1.55,32.83,56
[00:02:36.274],3.52,21.10,2.93,61.74,56
[00:02:36.374],3.53,21.15,2.31,48.81,56
[00:02:36.474],3.52,21.12,2.72,57.48,56
[00:02:36.574],3.53,21.16,2.26,47.74,56
[00:02:36.674],3.52,21.12,2.68,56.61,56
[00:02:36.776],3.52,21.11,2.94,62.03,56
[00:02:36.876],3.53,21.19,1.99,42.09,56
[00:02:36.976],3.51,21.08,3.07,64.68,56
[00:02:37.076],3.53,21.19,2.02,42.75,56
[00:02:37.176],3.51,21.05,3.36,70.75,56
[00:02:37.277],3.54,21.24,1.54,32.70,56
[00:02:37.377],3.51,21.04,3.46,72.87,56
[00:02:37.478],3.54,21.24,1.45,30.79,56
[00:02:37.578],3.51,21.06,3.29,69.35,56
[00:02:37.678],3.54,21.24,1.48,31.37,57
[00:02:37.778],3.51,21.05,3.47,73.05,57
[00:02:37.879],3.54,21.24,1.45,30.76,57
[00:02:37.979],3.51,21.08,3.09,65.18,57
[00:02:38.084],3.53,21.18,2.12,44.85,57
[00:02:38.184],3.55,21.31,0.80,17.10,57
[00:02:50.686],3.53,21.18,2.52,53.39,60
[00:02:50.787],3.51,21.04,3.84,80.74,60
[00:02:50.887],3.54,21.27,1.57,33.46,60
[00:02:50.988],3.52,21.09,3.30,69.55,60
[00:02:51.088],3.54,21.25,1.67,35.37,60
[00:02:51.189],3.51,21.05,3.68,77.47,60
[00:02:51.288],3.54,21.26,1.50,31.91,60
[00:02:51.388],3.51,21.08,3.23,68.07,60
[00:02:51.489],3.54,21.24,1.80,38.30,60
[00:02:51.589],3.52,21.10,3.60,64.08,60
[00:02:51.690],3.53,21.17,1.53,52.97,60
[00:02:51.790],3.52,21.11,3.21,67.76,60
[00:02:51.890],3.53,21.19,2.20,46.65,60
[00:02:51.990],3.51,21.09,3.16,66.63,61
[00:02:52.090],3.53,21.17,2.37,50.05,61
[00:02:52.192],3.52,21.10,3.09,65.20,61
[00:02:52.292],3.53,21.20,2.21,46.84,61
[00:02:52.393],3.52,21.10,3.19,67.23,61
[00:02:52.493],3.53,21.18,2.23,47.22,61
[00:02:52.594],3.51,21.09,3.24,68.41,61
[00:02:52.693],3.53,21.21,2.00,42.46,61
[00:02:52.794],3.51,21.07,3.33,70.22,61
[00:02:52.893],3.53,21.20,2.05,43.50,61
[00:02:52.994],3.51,21.07,3.29,69.28,61
[00:02:53.094],3.54,21.22,1.86,39.42,61
[00:02:53.197],3.53,21.18,2.11,44.67,61
[00:02:53.298],3.52,21.11,2.97,62.61,61
[00:02:53.502],3.54,21.21,1.98,42.03,62
[00:02:53.603],3.51,21.06,3.46,72.88,62
[00:02:53.703],3.53,21.21,1.96,41.48,62
[00:02:53.804],3.51,21.06,3.54,74.45,62
[00:02:53.904],3.54,21.21,1.96,41.58,62
[00:02:54.005],3.51,21.04,3.62,76.10,62
[00:02:54.105],3.53,21.20,2.01,42.60,62
[00:02:54.205],3.51,21.06,3.41,71.79,62
[00:02:54.306],3.54,21.22,1.80,38.24,62
[00:02:54.405],3.51,21.04,3.49,73.42,62
[00:02:54.506],3.52,21.14,2.63,55.55,62
[00:02:54.606],3.50,20.98,4.20,88.02,63
[00:02:54.707],3.52,21.14,2.57,54.21,63
[00:02:54.807],3.49,20.95,4.43,92.67,63
[00:02:54.907],3.54,21.21,2.05,43.38,63
[00:02:55.008],3.52,21.13,2.61,55.24,63
[00:02:55.109],3.55,21.27,1.21,25.66,63
[00:02:55.209],3.52,21.14,2.54,53.60,63
[00:02:55.309],3.55,21.28,1.19,25.40,63
[00:02:55.410],3.53,21.15,2.48,52.51,63
[00:02:55.510],3.54,21.27,1.32,28.09,63
[00:02:55.610],3.52,21.13,2.63,55.61,63
[00:02:55.710],3.54,21.25,1.40,29.65,63
[00:02:55.810],3.52,21.12,2.79,58.90,63
[00:02:55.941],3.54,21.26,1.45,30.71,63
[00:02:56.042],3.52,21.10,3.01,63.54,63
[00:02:56.142],3.52,21.12,2.79,58.85,64
[00:02:56.347],3.52,21.10,3.02,63.73,64
[00:02:56.652],3.52,21.15,2.54,53.76,64
[00:02:56.753],3.51,21.08,3.18,67.06,64
[00:02:56.853],3.52,21.11,2.74,57.89,64
[00:02:56.953],3.52,21.10,2.95,62.15,64
[00:02:57.053],3.53,21.17,2.20,46.48,64
[00:02:57.154],3.51,21.07,3.10,65.35,64
[00:02:57.254],3.53,21.16,2.36,49.98,64
[00:02:57.354],3.51,21.08,3.05,64.30,64
[00:02:57.456],3.53,21.16,2.21,46.80,65
[00:02:57.556],3.51,21.07,3.21,67.66,65
[00:02:57.656],3.53,21.15,2.33,49.32,65
[00:02:57.756],3.51,21.07,3.28,69.03,65
[00:02:57.856],3.53,21.18,2.15,45.43,65
[00:02:57.957],3.51,21.05,3.31,69.59,65
[00:02:58.057],3.53,21.20,1.92,40.70,65
[00:02:58.158],3.52,21.14,2.57,54.28,65
[00:02:58.258],3.54,21.22,1.70,35.99,65
[00:02:58.358],3.52,21.15,2.44,51.58,65
[00:02:58.458],3.54,21.23,1.62,34.40,65
[00:02:58.558],3.52,21.14,2.51,53.08,65
[00:02:58.659],3.54,21.23,1.53,32.40,65
[00:02:58.759],3.52,21.13,2.60,54.85,65
[00:02:58.962],3.51,21.06,3.21,67.68,66
[00:02:59.063],3.54,21.22,1.81,38.40,66
[00:02:59.163],3.51,21.07,3.21,67.55,66
[00:02:59.267],3.55,21.30,0.93,19.88,66
[00:02:59.571],3.55,21.32,0.70,14.84,66
[00:03:06.288],3.52,21.14,2.75,58.07,67
[00:03:06.393],3.50,21.02,3.88,81.65,67
[00:03:06.493],3.53,21.20,2.08,44.06,67
[00:03:06.593],3.52,21.10,3.14,66.34,67
[00:03:06.693],3.53,21.17,2.28,48.13,67
[00:03:06.794],3.51,21.06,3.41,71.69,68
[00:03:06.894],3.53,21.19,2.20,46.56,68
[00:03:06.995],3.52,21.12,2.84,59.95,68
[00:03:07.095],3.53,21.16,2.32,49.08,68
[00:03:07.195],3.51,21.08,3.26,68.78,68
[00:03:07.296],3.53,21.17,2.31,48.82,68
[00:03:07.401],3.52,21.12,2.81,59.41,68
[00:03:07.501],3.52,21.14,2.59,54.68,68
[00:03:07.601],3.51,21.06,3.43,72.22,68
[00:03:07.702],3.53,21.16,2.31,48.86,68
[00:03:07.802],3.52,21.13,2.67,56.36,68
[00:03:08.002],3.51,21.08,3.06,64.44,68
[00:03:08.102],3.52,21.13,2.56,54.02,68
[00:03:08.403],3.52,21.09,2.97,62.50,69
[00:03:08.607],3.52,21.13,2.57,54.29,69
[00:03:08.707],3.52,21.10,2.98,62.88,69
[00:03:08.910],3.53,21.17,2.22,46.98,69
[00:03:09.010],3.52,21.10,3.11,65.66,69
